,単語,出現数,割合（出現数/総数:11903）
0,株式会社,378,3.176%
1,医薬品,359,3.016%
2,月,331,2.781%
3,製薬,304,2.554%
4,会社,242,2.033%
5,本社,226,1.899%
6,事業,162,1.361%
7,製品,155,1.302%
8,企業,150,1.26%
9,薬品,106,0.891%
10,メーカー,100,0.84%
11,CM,92,0.773%
12,医療,92,0.773%
13,子会社,79,0.664%
14,商品,71,0.596%
15,同社,67,0.563%
16,社名,67,0.563%
17,番組,65,0.546%
18,Co,64,0.538%
19,食品,63,0.529%
20,グループ,61,0.512%
21,工場,57,0.479%
22,Ltd,54,0.454%
23,一般,53,0.445%
24,研究所,50,0.42%
25,ジェネリック,49,0.412%
26,主力,49,0.412%
27,工業,48,0.403%
28,世界,48,0.403%
29,国内,46,0.386%
30,スポンサー,44,0.37%
31,丸,44,0.37%
32,メルク,43,0.361%
33,時代,42,0.353%
34,テレビ,41,0.344%
35,薬,40,0.336%
36,法人,38,0.319%
37,中心,38,0.319%
38,当社,37,0.311%
39,株式,36,0.302%
40,社長,36,0.302%
41,物質,33,0.277%
42,ホールディングス,33,0.277%
43,部門,33,0.277%
44,ロゴ,32,0.269%
45,売上,31,0.26%
46,ベンチャー,30,0.252%
47,ヘルスケア,30,0.252%
48,抗生,30,0.252%
49,バイオ,29,0.244%
50,技術,29,0.244%
51,医薬,29,0.244%
52,ブランド,28,0.235%
53,Pharmaceutical,28,0.235%
54,胃腸,27,0.227%
55,シオノギ,27,0.227%
56,名称,26,0.218%
57,化学,26,0.218%
58,臨床,25,0.21%
59,名,24,0.202%
60,大手,24,0.202%
61,業界,24,0.202%
62,テバ,24,0.202%
63,新薬,23,0.193%
64,商号,22,0.185%
65,領域,22,0.185%
66,英文,22,0.185%
67,傘下,22,0.185%
68,製剤,22,0.185%
69,市場,20,0.168%
70,LTD,20,0.168%
71,業務,20,0.168%
72,シリーズ,20,0.168%
73,錠,19,0.16%
74,一つ,19,0.16%
75,他社,19,0.16%
76,社員,19,0.16%
77,売薬,19,0.16%
78,資本,19,0.16%
79,アステラス,19,0.16%
80,初代,18,0.151%
81,専門,18,0.151%
82,CO,18,0.151%
83,証券,17,0.143%
84,英語,17,0.143%
85,ファーマ,17,0.143%
86,分野,17,0.143%
87,後発,17,0.143%
88,疾患,17,0.143%
89,生薬,17,0.143%
90,クレジット,17,0.143%
91,龍,17,0.143%
92,売り上げ,17,0.143%
93,菌,17,0.143%
94,貫,17,0.143%
95,合弁,16,0.134%
96,地域,16,0.134%
97,スローガン,16,0.134%
98,両社,16,0.134%
99,ふく,16,0.134%
100,商標,15,0.126%
101,がん,15,0.126%
102,家庭,15,0.126%
103,Pharma,15,0.126%
104,ノバルティス,15,0.126%
105,スポット,15,0.126%
106,シェア,15,0.126%
107,薬剤,15,0.126%
108,品質,14,0.118%
109,漢方薬,14,0.118%
110,持株,14,0.118%
111,コード,14,0.118%
112,コーポレート,14,0.118%
113,漢方,14,0.118%
114,系列,14,0.118%
115,命,14,0.118%
116,医学,14,0.118%
117,キンカン,14,0.118%
118,基礎,14,0.118%
119,母,14,0.118%
120,薬局,13,0.109%
121,取締役,13,0.109%
122,外用,13,0.109%
123,ラジオ,13,0.109%
