,単語,出現数,割合（出現数/総数:8416）
0,株式会社,235,2.792%
1,本社,180,2.139%
2,ブランド,157,1.865%
3,月,150,1.782%
4,企業,143,1.699%
5,工場,143,1.699%
6,事業,133,1.58%
7,繊維,118,1.402%
8,会社,113,1.343%
9,メーカー,103,1.224%
10,製品,80,0.951%
11,同社,72,0.856%
12,学生,61,0.725%
13,タオル,53,0.63%
14,CM,51,0.606%
15,足袋,51,0.606%
16,社名,50,0.594%
17,中心,49,0.582%
18,商品,45,0.535%
19,国内,44,0.523%
20,紡績,41,0.487%
21,ウェア,41,0.487%
22,社長,40,0.475%
23,店舗,40,0.475%
24,アパレル,38,0.452%
25,グループ,37,0.44%
26,スポーツ,36,0.428%
27,技術,35,0.416%
28,衣料,31,0.368%
29,子会社,31,0.368%
30,全国,30,0.356%
31,工業,29,0.345%
32,ファッション,26,0.309%
33,制服,24,0.285%
34,キャラクター,24,0.285%
35,織物,24,0.285%
36,Ltd,23,0.273%
37,専門,23,0.273%
38,子供,23,0.273%
39,オリジナル,22,0.261%
40,テレビ,22,0.261%
41,布,22,0.261%
42,世界,22,0.261%
43,名,21,0.25%
44,大手,21,0.25%
45,業界,21,0.25%
46,ジーンズ,21,0.25%
47,Co,20,0.238%
48,各種,20,0.238%
49,婦人,20,0.238%
50,海外,19,0.226%
51,水着,19,0.226%
52,アパレルメーカー,18,0.214%
53,株式,18,0.214%
54,本店,18,0.214%
55,スポンサー,18,0.214%
56,紳士,18,0.214%
57,分野,18,0.214%
58,主力,17,0.202%
59,産業,17,0.202%
60,シェア,17,0.202%
61,素材,17,0.202%
62,学校,17,0.202%
63,女性,17,0.202%
64,用品,17,0.202%
65,時代,16,0.19%
66,商店,16,0.19%
67,取締役,16,0.19%
68,資本,15,0.178%
69,ユニフォーム,15,0.178%
70,炭素,15,0.178%
71,LTD,15,0.178%
72,株主,15,0.178%
73,カーテン,15,0.178%
74,ロゴ,14,0.166%
75,傘下,14,0.166%
76,人形,14,0.166%
77,サイト,14,0.166%
78,業績,14,0.166%
79,化学,14,0.166%
80,自動車,14,0.166%
81,他,14,0.166%
82,売上,13,0.154%
83,部門,13,0.154%
84,業務,13,0.154%
85,間,13,0.154%
86,シリーズ,13,0.154%
87,生地,13,0.154%
88,ショップ,13,0.154%
89,所在地,13,0.154%
90,規模,12,0.143%
91,拠点,12,0.143%
92,法人,12,0.143%
93,ホールディングス,12,0.143%
94,証券,12,0.143%
95,百貨店,12,0.143%
96,ビル,12,0.143%
97,商標,12,0.143%
98,CO,12,0.143%
99,特徴,12,0.143%
100,雑貨,11,0.131%
101,素,11,0.131%
102,資材,11,0.131%
103,本部,11,0.131%
104,モスリン,11,0.131%
105,イオン,11,0.131%
106,トンボ,11,0.131%
107,需要,10,0.119%
108,利益,10,0.119%
109,系列,10,0.119%
110,商号,10,0.119%
111,cm,10,0.119%
112,サイズ,10,0.119%
113,名称,10,0.119%
114,歴史,10,0.119%
115,デニム,10,0.119%
116,医療,10,0.119%
117,一つ,10,0.119%
118,市場,10,0.119%
119,番組,10,0.119%
120,会長,10,0.119%
121,バッグ,10,0.119%
122,水,10,0.119%
123,不動産,10,0.119%
124,老舗,10,0.119%
125,社員,10,0.119%
126,男性,9,0.107%
127,形,9,0.107%
128,有限,9,0.107%
129,事務所,9,0.107%
130,ピュアニーモ,9,0.107%
131,モール,9,0.107%
132,キャンペーン,9,0.107%
133,ぼう,9,0.107%
134,北,9,0.107%
135,色,9,0.107%
136,情報,9,0.107%
137,内装,9,0.107%
138,帽子,9,0.107%
139,毛織物,9,0.107%
140,手,9,0.107%
141,所在,9,0.107%
142,スクール,9,0.107%
143,協会,9,0.107%
144,福助,9,0.107%
145,ポリエステル,8,0.095%
146,財閥,8,0.095%
147,親会社,8,0.095%
148,持株,8,0.095%
149,卸,8,0.095%
150,衣装,8,0.095%
151,会員,8,0.095%
152,内容,8,0.095%
153,用具,8,0.095%
154,レーヨン,8,0.095%
155,ナイロン,8,0.095%
156,環境,8,0.095%
157,樹脂,8,0.095%
158,甚与,8,0.095%
159,体制,8,0.095%
160,女子,8,0.095%
161,名前,8,0.095%
162,ライセンス,8,0.095%
163,チーム,8,0.095%
164,人気,8,0.095%
165,正社員,8,0.095%
166,如意,8,0.095%
167,カバン,8,0.095%
168,おむつ,8,0.095%
169,個人,8,0.095%
170,消防,8,0.095%
171,羽毛,8,0.095%
172,英文,7,0.083%
173,Tシャツ,7,0.083%
174,Corporation,7,0.083%
175,綿,7,0.083%
176,他社,7,0.083%
177,原料,7,0.083%
178,Inc,7,0.083%
179,S,7,0.083%
180,基幹,7,0.083%
181,選手,7,0.083%
182,（株）,7,0.083%
183,前身,7,0.083%
184,出身,7,0.083%
185,時点,7,0.083%
186,ドラマ,7,0.083%
187,高校,7,0.083%
188,銀行,7,0.083%
189,争議,7,0.083%
190,靴下,7,0.083%
191,工芸,7,0.083%
192,服飾,7,0.083%
193,ヨット,7,0.083%
194,デザイナー,7,0.083%
195,看板,7,0.083%
196,フロイデンベルグ,7,0.083%
197,ヴァンヂャケット,7,0.083%
198,文化,7,0.083%
199,実績,7,0.083%
200,ラジオ,7,0.083%
201,ジャケット,7,0.083%
202,国際,7,0.083%
203,ゴルフ,7,0.083%
204,知名度,7,0.083%
205,カラー,7,0.083%
206,コード,7,0.083%
207,インテリア,7,0.083%
208,jpg,7,0.083%
209,合弁,6,0.071%
210,問屋,6,0.071%
211,機械,6,0.071%
212,中核,6,0.071%
213,資産,6,0.071%
214,テキスタイル,6,0.071%
215,跡地,6,0.071%
216,各地,6,0.071%
217,直営店,6,0.071%
218,カジュアル,6,0.071%
219,レディース,6,0.071%
220,野球,6,0.071%
221,顧客,6,0.071%
222,ホテル,6,0.071%
223,JAPAN,6,0.071%
224,ネット,6,0.071%
225,フエルト,6,0.071%
226,東,6,0.071%
227,金融,6,0.071%
228,東洋,6,0.071%
229,都市,6,0.071%
230,現地,6,0.071%
231,ガール,6,0.071%
232,オフィス,6,0.071%
233,元年,6,0.071%
234,女工,6,0.071%
235,最初,6,0.071%
236,OEM,6,0.071%
237,スローガン,6,0.071%
238,メイン,6,0.071%
239,毛,6,0.071%
240,きっかけ,6,0.071%
241,方針,6,0.071%
242,地元,6,0.071%
243,レース,6,0.071%
244,ラケット,6,0.071%
245,糸,6,0.071%
246,藍,6,0.071%
247,下着,6,0.071%
248,通称,6,0.071%
249,民事,6,0.071%
250,システム,6,0.071%
251,オリンピック,6,0.071%
252,体育,6,0.071%
253,エース,6,0.071%
254,合繊,5,0.059%
255,経済,5,0.059%
256,目的,5,0.059%
257,常務,5,0.059%
258,ベビー服,5,0.059%
259,国産,5,0.059%
260,商社,5,0.059%
261,ドレス,5,0.059%
262,モデル,5,0.059%
263,アイテム,5,0.059%
264,綿布,5,0.059%
265,製紙,5,0.059%
266,敷地,5,0.059%
267,大戦,5,0.059%
268,帝国,5,0.059%
269,絹,5,0.059%
270,役員,5,0.059%
271,部品,5,0.059%
272,材料,5,0.059%
273,マテリアル,5,0.059%
274,女優,5,0.059%
275,サッカー,5,0.059%
276,大会,5,0.059%
277,機関,5,0.059%
278,せき,5,0.059%
279,会館,5,0.059%
280,大字,5,0.059%
281,金属,5,0.059%
282,地区,5,0.059%
283,理由,5,0.059%
284,一般,5,0.059%
285,テーマ,5,0.059%
286,年間,5,0.059%
287,バブル,5,0.059%
288,製織,5,0.059%
289,伝統,5,0.059%
290,紡織,5,0.059%
291,スキー,5,0.059%
292,もと,5,0.059%
293,支店,5,0.059%
294,被服,5,0.059%
295,フィラメント,5,0.059%
296,品質,5,0.059%
297,第三者,5,0.059%
298,名門,5,0.059%
299,リーグ,5,0.059%
300,クラブ,5,0.059%
301,自主,5,0.059%
302,コンセプト,5,0.059%
303,戦略,5,0.059%
304,機器,5,0.059%
305,債権,5,0.059%
306,イベント,5,0.059%
