,単語,出現数,割合（出現数/総数:16897）
0,銀行,1459,8.635%
1,月,671,3.971%
2,銀,487,2.882%
3,金融,303,1.793%
4,支店,269,1.592%
5,本店,258,1.527%
6,店舗,224,1.326%
7,会社,215,1.272%
8,頭取,150,0.888%
9,システム,141,0.834%
10,株式会社,140,0.829%
11,グループ,128,0.758%
12,資金,121,0.716%
13,ホールディングス,118,0.698%
14,機関,117,0.692%
15,企業,111,0.657%
16,業務,107,0.633%
17,傘下,101,0.598%
18,地方銀行,99,0.586%
19,フィナンシャルグループ,95,0.562%
20,子会社,90,0.533%
21,社長,88,0.521%
22,UFJ,86,0.509%
23,株式,83,0.491%
24,都市,80,0.473%
25,証券,79,0.468%
26,地銀,76,0.45%
27,行,75,0.444%
28,持株,74,0.438%
29,相互,74,0.438%
30,県内,74,0.438%
31,ATM,72,0.426%
32,資本,69,0.408%
33,Bank,68,0.402%
34,太陽,65,0.385%
35,出身,65,0.385%
36,経済,64,0.379%
37,法人,57,0.337%
38,アーバン,57,0.337%
39,規模,56,0.331%
40,ビル,56,0.331%
41,ぎん,54,0.32%
42,中心,53,0.314%
43,債権,53,0.314%
44,事業,52,0.308%
45,らい,52,0.308%
46,通帳,51,0.302%
47,両行,51,0.302%
48,同行,51,0.302%
49,キャラクター,48,0.284%
50,バンク,48,0.284%
51,地域,47,0.278%
52,本社,47,0.278%
53,バブル,44,0.26%
54,財閥,44,0.26%
55,さくら,43,0.254%
56,都銀,43,0.254%
57,中央,43,0.254%
58,時代,42,0.249%
59,方針,42,0.249%
60,前身,42,0.249%
61,カード,42,0.249%
62,商号,41,0.243%
63,会長,41,0.243%
64,部門,40,0.237%
65,個人,40,0.237%
66,口座,39,0.231%
67,地区,38,0.225%
68,為替,38,0.225%
69,手数料,38,0.225%
70,形,37,0.219%
71,資産,37,0.219%
72,株主,37,0.219%
73,本部,36,0.213%
74,jpg,35,0.207%
75,地方,35,0.207%
76,国際,34,0.201%
77,全国,33,0.195%
78,海外,33,0.195%
79,Ltd,31,0.183%
80,戦略,31,0.183%
81,取締役,31,0.183%
82,国立,31,0.183%
83,キャッシュカード,30,0.178%
84,顧客,30,0.178%
85,基盤,29,0.172%
86,外国,29,0.172%
87,間,28,0.166%
88,道内,28,0.166%
89,委員,27,0.16%
90,不動産,27,0.16%
91,信用金庫,27,0.16%
92,定期,26,0.154%
93,中小,26,0.154%
94,当行,26,0.154%
95,地元,25,0.148%
96,建物,25,0.148%
97,体制,25,0.148%
98,役員,25,0.148%
99,危機,25,0.148%
100,比率,25,0.148%
101,対象,25,0.148%
102,センター,25,0.148%
103,地盤,25,0.148%
104,新規,24,0.142%
105,目的,24,0.142%
106,政府,24,0.142%
107,最終,24,0.142%
108,収益,24,0.142%
109,無尽,24,0.142%
110,拠点,24,0.142%
111,無料,24,0.142%
112,カブト,24,0.142%
113,出張所,23,0.136%
114,株価,23,0.136%
115,事件,23,0.136%
116,県,23,0.136%
117,コード,23,0.136%
118,人事,23,0.136%
