,単語,出現数,割合（出現数/総数:7143）
0,メーカー,222,3.108%
1,鉄鋼,203,2.842%
2,事業,137,1.918%
3,企業,120,1.68%
4,会社,118,1.652%
5,株式会社,117,1.638%
6,月,116,1.624%
7,工場,114,1.596%
8,製品,101,1.414%
9,グループ,92,1.288%
10,鉄,85,1.19%
11,鋼板,79,1.106%
12,部門,75,1.05%
13,ステンレス,74,1.036%
14,本社,71,0.994%
15,鋼管,63,0.882%
16,国内,59,0.826%
17,高炉,56,0.784%
18,社名,56,0.784%
19,子会社,56,0.784%
20,自動車,56,0.784%
21,鋼材,54,0.756%
22,電気,54,0.756%
23,技術,54,0.756%
24,スチール,53,0.742%
25,拠点,52,0.728%
26,株式,45,0.63%
27,世界,43,0.602%
28,粗鋼,38,0.532%
29,分野,35,0.49%
30,大手,33,0.462%
31,部品,33,0.462%
32,冷,32,0.448%
33,機械,32,0.448%
34,同社,31,0.434%
35,規模,31,0.434%
36,社長,30,0.42%
37,銑,28,0.392%
38,材料,28,0.392%
39,Steel,28,0.392%
40,JFE,28,0.392%
41,金属,27,0.378%
42,英文,27,0.378%
43,資本,27,0.378%
44,工業,27,0.378%
45,鋼,27,0.378%
46,延,27,0.378%
47,Ltd,26,0.364%
48,薄板,26,0.364%
49,産業,26,0.364%
50,シェア,26,0.364%
51,合理,26,0.364%
52,化学,25,0.35%
53,中心,25,0.35%
54,経済,24,0.336%
55,証券,24,0.336%
56,棒鋼,23,0.322%
57,板,22,0.308%
58,Co,22,0.308%
59,ホールディングス,22,0.308%
60,前身,22,0.308%
61,線,21,0.294%
62,業者,20,0.28%
63,主力,19,0.266%
64,素材,19,0.266%
65,冶金,19,0.266%
66,合金,19,0.266%
67,形,18,0.252%
68,傘下,18,0.252%
69,持株,18,0.252%
70,原料,18,0.252%
71,銑鉄,18,0.252%
72,株主,18,0.252%
73,会長,18,0.252%
74,業界,17,0.238%
75,構造,17,0.238%
76,鉄道,16,0.224%
77,需要,16,0.224%
78,建材,15,0.21%
79,最大,15,0.21%
80,比率,15,0.21%
81,スクラップ,15,0.21%
82,（株）,15,0.21%
83,委員,15,0.21%
84,時点,15,0.21%
85,両社,15,0.21%
86,年間,14,0.196%
87,エンジニアリング,14,0.196%
88,取締役,14,0.196%
89,トップ,14,0.196%
90,チタン,13,0.182%
91,条鋼,13,0.182%
92,LTD,13,0.182%
93,所在地,13,0.182%
94,商号,13,0.182%
95,電力,13,0.182%
96,株,13,0.182%
97,エブラズ,13,0.182%
98,体制,12,0.168%
99,橋梁,12,0.168%
100,STEEL,12,0.168%
101,一つ,12,0.168%
102,異形,12,0.168%
103,市場,12,0.168%
104,通り,12,0.168%
105,持分,12,0.168%
106,能力,12,0.168%
107,軌条,12,0.168%
108,矢板,12,0.168%
109,ポスコ,12,0.168%
110,地区,12,0.168%
111,鋳鉄,12,0.168%
112,熱,11,0.154%
113,後継,11,0.154%
114,転,11,0.154%
115,国際,11,0.154%
116,全日本,11,0.154%
117,アルミ,11,0.154%
118,NKK,11,0.154%
119,価格,10,0.14%
120,合弁,10,0.14%
121,各種,10,0.14%
122,支店,10,0.14%
123,コークス,10,0.14%
124,ニッケル,10,0.14%
125,銀行,10,0.14%
126,YAKIN,10,0.14%
127,不況,10,0.14%
128,地方,10,0.14%
129,時代,10,0.14%
130,ブリキ,10,0.14%
131,本格,10,0.14%
132,鋳物,10,0.14%
133,他社,10,0.14%
134,US,10,0.14%
135,Corporation,10,0.14%
136,工程,9,0.126%
137,事務所,9,0.126%
138,CO,9,0.126%
139,親会社,9,0.126%
140,研究所,9,0.126%
141,機器,9,0.126%
142,他,9,0.126%
143,理由,9,0.126%
144,ばね,9,0.126%
145,売上,9,0.126%
146,資金,9,0.126%
147,土木,9,0.126%
148,道路,9,0.126%
149,法人,8,0.112%
150,専業,8,0.112%
151,てつ,8,0.112%
152,筆頭,8,0.112%
153,会員,8,0.112%
154,ナス,8,0.112%
155,ブランド,8,0.112%
156,情報,8,0.112%
157,財閥,8,0.112%
158,表面,8,0.112%
159,亜鉛,8,0.112%
160,H,8,0.112%
161,ガス,8,0.112%
162,政府,8,0.112%
163,電線,8,0.112%
164,最大手,8,0.112%
165,電炉,8,0.112%
166,資産,8,0.112%
167,唐,8,0.112%
168,大型,7,0.098%
169,危機,7,0.098%
170,リーグ,7,0.098%
171,製,7,0.098%
172,自転車,7,0.098%
173,中核,7,0.098%
174,メイン,7,0.098%
175,分社,7,0.098%
176,民間,7,0.098%
177,石炭,7,0.098%
178,高速,7,0.098%
179,電磁,7,0.098%
180,ビル,7,0.098%
181,平炉,7,0.098%
182,クロム,7,0.098%
183,出身,7,0.098%
184,資材,7,0.098%
185,光,7,0.098%
186,事件,7,0.098%
187,社員,7,0.098%
188,電子,7,0.098%
189,鉄筋,7,0.098%
190,海外,7,0.098%
191,連邦,7,0.098%
192,きん,6,0.084%
193,赤字,6,0.084%
194,多角,6,0.084%
195,環境,6,0.084%
196,最初,6,0.084%
197,特,6,0.084%
198,コールタール,6,0.084%
199,一般,6,0.084%
200,系列,6,0.084%
201,バス,6,0.084%
202,精密,6,0.084%
203,中央,6,0.084%
204,唯一,6,0.084%
205,原告,6,0.084%
206,過程,6,0.084%
207,複数,6,0.084%
208,利益,6,0.084%
209,対象,6,0.084%
210,現代,6,0.084%
211,過度,6,0.084%
212,独禁法,6,0.084%
213,疑い,6,0.084%
214,目的,6,0.084%
