,単語,出現数,割合（出現数/総数:5937）
0,航路,323,5.44%
1,月,225,3.79%
2,フェリー,196,3.301%
3,会社,195,3.284%
4,海運,157,2.644%
5,汽船,140,2.358%
6,株式会社,107,1.802%
7,本社,79,1.331%
8,船舶,78,1.314%
9,丸,77,1.297%
10,国際,72,1.213%
11,事業,66,1.112%
12,商船,66,1.112%
13,グループ,41,0.691%
14,定期,41,0.691%
15,高速,40,0.674%
16,バス,37,0.623%
17,ファイル,37,0.623%
18,船,36,0.606%
19,jpg,35,0.59%
20,貨物,31,0.522%
21,運輸,30,0.505%
22,きせん,28,0.472%
23,旅客,28,0.472%
24,カーフェリー,27,0.455%
25,社名,26,0.438%
26,企業,25,0.421%
27,しま,25,0.421%
28,社長,24,0.404%
29,子会社,24,0.404%
30,JPG,21,0.354%
31,交通,20,0.337%
32,海上,19,0.32%
33,ライン,19,0.32%
34,体制,19,0.32%
35,旅客船,18,0.303%
36,港,18,0.303%
37,中心,17,0.286%
38,ターミナル,17,0.286%
39,同社,17,0.286%
40,時点,17,0.286%
41,銀行,17,0.286%
42,ダイヤ,17,0.286%
43,間,17,0.286%
44,運賃,17,0.286%
45,世界,17,0.286%
46,運,15,0.253%
47,赤字,15,0.253%
48,大戦,14,0.236%
49,クルーズ,13,0.219%
50,船主,13,0.219%
51,海外,13,0.219%
52,資本,13,0.219%
53,File,12,0.202%
54,セクター,12,0.202%
55,路線,12,0.202%
56,オレンジ,12,0.202%
57,郵船,12,0.202%
58,自動車,12,0.202%
59,本土,12,0.202%
60,鉄道,12,0.202%
61,JAPAN,12,0.202%
62,ジェットフォイル,12,0.202%
63,ドック,11,0.185%
64,桟橋,11,0.185%
65,産業,11,0.185%
66,歌,11,0.185%
67,of,11,0.185%
68,最大,11,0.185%
69,業界,11,0.185%
70,南,11,0.185%
71,Ltd,11,0.185%
72,時代,11,0.185%
73,株主,11,0.185%
74,一般,11,0.185%
75,客,11,0.185%
76,コンテナ,10,0.168%
77,Ferry,10,0.168%
78,唯一,10,0.168%
79,委員,10,0.168%
80,トン,10,0.168%
81,社外,10,0.168%
82,Line,9,0.152%
83,車両,9,0.152%
84,社,9,0.152%
85,戸,9,0.152%
86,ファンネルマーク,9,0.152%
87,国内,9,0.152%
88,会員,9,0.152%
89,組合,9,0.152%
90,株式,9,0.152%
91,政府,9,0.152%
92,物流,8,0.135%
93,貨客船,8,0.135%
94,鯛,8,0.135%
95,Co,8,0.135%
96,同市,8,0.135%
97,通り,8,0.135%
98,拠点,8,0.135%
99,便,8,0.135%
100,前身,8,0.135%
101,区間,8,0.135%
102,RO,8,0.135%
103,所在地,8,0.135%
104,法人,8,0.135%
105,業者,8,0.135%
106,サルベージ,8,0.135%
107,地区,8,0.135%
108,沖,7,0.118%
109,予備,7,0.118%
110,大型,7,0.118%
111,利便,7,0.118%
112,地域,7,0.118%
113,別,7,0.118%
114,port,7,0.118%
115,船員,7,0.118%
116,主体,7,0.118%
117,近海,7,0.118%
118,サイト,7,0.118%
119,初代,7,0.118%
120,大橋,7,0.118%
121,芸,7,0.118%
122,LTD,7,0.118%
123,当社,7,0.118%
124,一つ,7,0.118%
125,国策,7,0.118%
126,他,7,0.118%
127,地方,7,0.118%
128,不定期,7,0.118%
129,声,7,0.118%
130,債権,7,0.118%
131,公司,7,0.118%
132,帝,7,0.118%
133,ゆ,6,0.101%
134,船内,6,0.101%
135,中央,6,0.101%
136,有限,6,0.101%
137,形,6,0.101%
138,Shikokukisen,6,0.101%
139,at,6,0.101%
140,傘下,6,0.101%
141,大手,6,0.101%
142,外,6,0.101%
143,機関,6,0.101%
144,期間,6,0.101%
145,国道,6,0.101%
146,船体,6,0.101%
147,商店,6,0.101%
148,協会,6,0.101%
149,道路,6,0.101%
150,民事,6,0.101%
151,年間,6,0.101%
152,海,6,0.101%
153,シルバー,6,0.101%
154,帝国,6,0.101%
155,県,6,0.101%
156,新幹線,6,0.101%
157,臨時,6,0.101%
158,小型,6,0.101%
159,原油,6,0.101%
160,島,6,0.101%
161,船腹,6,0.101%
162,親会社,6,0.101%
163,料金,6,0.101%
164,礼,6,0.101%
165,とも,6,0.101%
166,便数,5,0.084%
167,港湾,5,0.084%
168,繋,5,0.084%
169,荷役,5,0.084%
170,事務所,5,0.084%
171,通常,5,0.084%
172,お盆,5,0.084%
173,周辺,5,0.084%
174,徒歩,5,0.084%
175,双方,5,0.084%
176,状態,5,0.084%
177,乗客,5,0.084%
178,個人,5,0.084%
179,系列,5,0.084%
180,水上,5,0.084%
181,ボート,5,0.084%
182,各社,5,0.084%
183,K,5,0.084%
184,本店,5,0.084%
185,公共,5,0.084%
186,会長,5,0.084%
187,祝日,5,0.084%
188,議員,5,0.084%
189,経済,5,0.084%
190,需要,5,0.084%
191,社会,5,0.084%
192,災害,5,0.084%
193,ニュー,5,0.084%
194,片側,5,0.084%
195,名称,5,0.084%
196,下,5,0.084%
197,大半,5,0.084%
198,繁忙,5,0.084%
199,国,5,0.084%
200,春,5,0.084%
201,基本,5,0.084%
202,部品,5,0.084%
203,実績,5,0.084%
204,減,5,0.084%
205,方針,5,0.084%
206,対象,5,0.084%
207,船隊,5,0.084%
208,末期,5,0.084%
209,鋼材,5,0.084%
210,両社,5,0.084%
211,大島,5,0.084%
212,快速,5,0.084%
213,地元,5,0.084%
214,東方,5,0.084%
215,外国,5,0.084%
216,空港,5,0.084%
217,駒,4,0.067%
218,シーバス,4,0.067%
219,ビル,4,0.067%
220,河川,4,0.067%
221,ポート,4,0.067%
222,ひな,4,0.067%
223,ferry,4,0.067%
224,takamatsubay,4,0.067%
225,Ajishima,4,0.067%
226,ブルー,4,0.067%
227,地方裁判所,4,0.067%
228,漁港,4,0.067%
229,老朽,4,0.067%
230,渡船,4,0.067%
231,takamatsu,4,0.067%
232,kisen,4,0.067%
233,bird,4,0.067%
234,港内,4,0.067%
235,業務,4,0.067%
236,鉄,4,0.067%
237,S,4,0.067%
238,足,4,0.067%
239,システム,4,0.067%
240,年度,4,0.067%
241,國,4,0.067%
242,社団,4,0.067%
243,歴史,4,0.067%
244,物資,4,0.067%
245,CO,4,0.067%
246,目的,4,0.067%
