,単語,出現数,割合（出現数/総数:9932）
0,株式会社,413,4.158%
1,会社,345,3.474%
2,月,279,2.809%
3,本社,255,2.567%
4,事業,246,2.477%
5,住宅,235,2.366%
6,企業,147,1.48%
7,グループ,121,1.218%
8,電気,102,1.027%
9,ゼネコン,95,0.957%
10,子会社,87,0.876%
11,土木,73,0.735%
12,中心,73,0.735%
13,同社,61,0.614%
14,工業,59,0.594%
15,部門,57,0.574%
16,大手,55,0.554%
17,社名,50,0.503%
18,証券,50,0.503%
19,Co,47,0.473%
20,社長,47,0.473%
21,技術,47,0.473%
22,Ltd,46,0.463%
23,地方,45,0.453%
24,メーカー,44,0.443%
25,マンション,44,0.443%
26,ビル,44,0.443%
27,システム,43,0.433%
28,実績,39,0.393%
29,不動産,39,0.393%
30,鉄道,39,0.393%
31,工場,37,0.373%
32,CM,37,0.373%
33,ハウス,36,0.362%
34,業務,36,0.362%
35,社員,34,0.342%
36,国内,34,0.342%
37,トンネル,34,0.342%
38,規模,33,0.332%
39,売上,32,0.322%
40,支店,31,0.312%
41,情報,31,0.312%
42,株式,30,0.302%
43,全国,30,0.302%
44,環境,30,0.302%
45,ホールディングス,29,0.292%
46,業界,29,0.292%
47,海外,27,0.272%
48,中堅,27,0.272%
49,工法,27,0.272%
50,道路,26,0.262%
51,CO,26,0.262%
52,エンジニアリング,26,0.262%
53,LTD,25,0.252%
54,本店,24,0.242%
55,テレビ,23,0.232%
56,事務所,23,0.232%
57,取締役,22,0.222%
58,一般,22,0.222%
59,ブランド,22,0.222%
60,プラント,22,0.222%
61,業者,21,0.211%
62,資本,21,0.211%
63,構造,21,0.211%
64,分野,21,0.211%
65,都市,21,0.211%
66,産業,20,0.201%
67,センター,20,0.201%
68,木造,20,0.201%
69,Corporation,19,0.191%
70,傘下,19,0.191%
71,プレハブ,19,0.191%
72,拠点,19,0.191%
73,大型,18,0.181%
74,空調,17,0.171%
75,内容,17,0.171%
76,公共,17,0.171%
77,工務,17,0.171%
78,建,17,0.171%
79,電力,17,0.171%
80,商品,16,0.161%
81,単独,16,0.161%
82,法人,16,0.161%
83,番組,16,0.161%
84,パネル,16,0.161%
85,最大,15,0.151%
86,エリア,15,0.151%
87,銘柄,15,0.151%
88,株主,15,0.151%
89,バブル,15,0.151%
90,ぐみ,15,0.151%
91,新幹線,15,0.151%
92,目的,15,0.151%
93,野球,15,0.151%
94,物件,15,0.151%
95,専門,15,0.151%
96,断熱,15,0.151%
97,（株）,15,0.151%
98,太陽光,14,0.141%
99,会員,14,0.141%
100,建材,14,0.141%
101,建物,14,0.141%
102,一つ,14,0.141%
103,主力,14,0.141%
104,A,14,0.141%
105,ホーム,14,0.141%
106,地方裁判所,14,0.141%
107,家,14,0.141%
108,プロ,13,0.131%
109,英文,13,0.131%
110,世界,13,0.131%
111,ホテル,13,0.131%
112,会長,13,0.131%
113,現場,13,0.131%
114,時代,13,0.131%
115,機械,13,0.131%
116,県内,13,0.131%
117,CORPORATION,13,0.131%
118,南,13,0.131%
119,体制,12,0.121%
120,商業,12,0.121%
121,ダム,12,0.121%
122,JR,12,0.121%
123,地域,12,0.121%
124,商号,12,0.121%
125,Construction,12,0.121%
126,メンテナンス,12,0.121%
127,鉄骨,12,0.121%
128,アパート,12,0.121%
129,国土,12,0.121%
130,内装,11,0.111%
131,地盤,11,0.111%
132,比率,11,0.111%
133,コード,11,0.111%
134,強み,11,0.111%
135,住まい,11,0.111%
136,スポンサー,11,0.111%
137,地元,11,0.111%
138,jpg,11,0.111%
139,テック,11,0.111%
140,民事,11,0.111%
141,他,10,0.101%
142,コーポレート,10,0.101%
143,首都,10,0.101%
144,国際,10,0.101%
145,各種,10,0.101%
146,登,10,0.101%
147,事件,10,0.101%
148,持株,10,0.101%
149,橋梁,10,0.101%
150,顧客,10,0.101%
151,在来,10,0.101%
152,ファンド,10,0.101%
153,ネット,10,0.101%
154,空間,10,0.101%
155,衛生,9,0.091%
156,選手,9,0.091%
157,親会社,9,0.091%
158,最大手,9,0.091%
159,スーパー,9,0.091%
160,財務,9,0.091%
161,コマーシャル,9,0.091%
162,売り上げ,9,0.091%
163,民間,9,0.091%
164,ソング,9,0.091%
165,機器,9,0.091%
166,海洋,9,0.091%
167,耐震,9,0.091%
168,合板,9,0.091%
169,名称,9,0.091%
170,化学,9,0.091%
171,陸上,9,0.091%
172,壁,9,0.091%
173,歴史,9,0.091%
174,オフィス,9,0.091%
175,店舗,9,0.091%
176,線路,9,0.091%
177,価格,9,0.091%
178,構法,9,0.091%
179,土地,9,0.091%
180,管,9,0.091%
181,新聞,9,0.091%
182,県,8,0.081%
183,大輪,8,0.081%
184,NTT,8,0.081%
185,鉄,8,0.081%
186,名門,8,0.081%
187,高速,8,0.081%
188,自動車,8,0.081%
189,内部,8,0.081%
190,所在地,8,0.081%
191,東,8,0.081%
192,中央,8,0.081%
193,利益,8,0.081%
194,前身,8,0.081%
195,持分,8,0.081%
196,大賞,8,0.081%
197,他社,8,0.081%
198,石油,8,0.081%
199,エネルギー,8,0.081%
200,大臣,8,0.081%
201,経緯,8,0.081%
202,軌道,8,0.081%
203,方式,8,0.081%
204,地区,8,0.081%
205,負債,8,0.081%
206,特徴,8,0.081%
207,トップ,8,0.081%
208,工,8,0.081%
209,個人,8,0.081%
210,人,8,0.081%
211,File,8,0.081%
212,協会,8,0.081%
213,木質,8,0.081%
214,ライト,8,0.081%
215,社会,8,0.081%
216,理念,8,0.081%
217,中部,7,0.07%
218,木材,7,0.07%
219,ビジネス,7,0.07%
220,高層,7,0.07%
221,原子力,7,0.07%
222,債権,7,0.07%
223,合弁,7,0.07%
224,一員,7,0.07%
225,系列,7,0.07%
226,交通,7,0.07%
227,金融,7,0.07%
228,LIXIL,7,0.07%
229,住,7,0.07%
230,力,7,0.07%
231,屋根,7,0.07%
232,ロゴ,7,0.07%
233,コンサルタント,7,0.07%
234,サッカー,7,0.07%
235,造,7,0.07%
236,出身,7,0.07%
237,地裁,7,0.07%
238,主体,7,0.07%
239,唯一,7,0.07%
240,プラン,7,0.07%
241,ミ,7,0.07%
242,ファイル,7,0.07%
243,大会,7,0.07%
244,夢,7,0.07%
245,大工,7,0.07%
246,左官,7,0.07%
247,総額,7,0.07%
248,省,7,0.07%
249,インフラ,6,0.06%
250,業績,6,0.06%
251,学校,6,0.06%
252,オリンピック,6,0.06%
253,チーム,6,0.06%
254,形,6,0.06%
255,銀行,6,0.06%
256,リニア,6,0.06%
257,議員,6,0.06%
258,首位,6,0.06%
259,人材,6,0.06%
260,自己,6,0.06%
261,大震災,6,0.06%
262,組合,6,0.06%
263,資材,6,0.06%
264,ローカル,6,0.06%
265,医療,6,0.06%
266,病院,6,0.06%
267,木,6,0.06%
268,D,6,0.06%
269,テクノ,6,0.06%
270,CONSTRUCTION,6,0.06%
271,特命,6,0.06%
272,ホームウェル,6,0.06%
273,コンセプト,6,0.06%
274,当社,6,0.06%
275,筆頭,6,0.06%
276,プロジェクト,6,0.06%
277,市場,6,0.06%
278,体質,6,0.06%
279,年間,6,0.06%
280,インテリア,6,0.06%
281,時点,6,0.06%
282,戸,6,0.06%
283,地震,6,0.06%
284,お客様,6,0.06%
285,原因,6,0.06%
286,構内,6,0.06%
287,スタジアム,6,0.06%
288,だい,6,0.06%
289,車両,6,0.06%
290,鉄筋コンクリート,6,0.06%
291,省エネ,6,0.06%
292,基準,6,0.06%
293,方針,6,0.06%
294,男性,6,0.06%
295,女性,6,0.06%
296,ホーメスト,6,0.06%
297,ほん,5,0.05%
298,電工,5,0.05%
299,しん,5,0.05%
300,Engineering,5,0.05%
301,もと,5,0.05%
302,長男,5,0.05%
303,支社,5,0.05%
304,主軸,5,0.05%
305,委員,5,0.05%
306,資産,5,0.05%
307,トップクラス,5,0.05%
308,フランチャイズ,5,0.05%
309,オリジナル,5,0.05%
310,虚偽,5,0.05%
311,駅,5,0.05%
312,同業,5,0.05%
313,運輸,5,0.05%
314,間,5,0.05%
315,文化,5,0.05%
316,軸,5,0.05%
317,状況,5,0.05%
318,むら,5,0.05%
319,性能,5,0.05%
320,収益,5,0.05%
321,コン,5,0.05%
322,郵便,5,0.05%
323,材料,5,0.05%
324,有利子,5,0.05%
325,外装,5,0.05%
326,砂利,5,0.05%
327,ファースト,5,0.05%
328,構,5,0.05%
329,字,5,0.05%
330,ヤマダ・エスバイエルホーム,5,0.05%
331,House,5,0.05%
332,シリーズ,5,0.05%
333,方法,5,0.05%
334,セキスイハイム,5,0.05%
335,ユニット,5,0.05%
336,プラスチック,5,0.05%
337,きゅう,5,0.05%
338,英語,5,0.05%
339,スペースバリューホールディングス,5,0.05%
340,容疑,5,0.05%
341,幹部,5,0.05%
342,外,5,0.05%
343,代金,5,0.05%
344,戸数,5,0.05%
345,母体,5,0.05%
346,本格,5,0.05%
347,女,5,0.05%
348,社,5,0.05%
349,製品,5,0.05%
350,金剛,5,0.05%
351,有価,5,0.05%
352,ペイント,5,0.05%
353,女子,4,0.04%
354,割合,4,0.04%
355,コムシスホールディングス,4,0.04%
356,きっかけ,4,0.04%
357,学園,4,0.04%
358,名,4,0.04%
359,背景,4,0.04%
360,息子,4,0.04%
361,コンクリート,4,0.04%
362,石材,4,0.04%
363,戦時,4,0.04%
364,北,4,0.04%
365,上位,4,0.04%
366,社内,4,0.04%
367,制度,4,0.04%
368,株価,4,0.04%
369,TOSYS,4,0.04%
370,海底,4,0.04%
371,パートナー,4,0.04%
372,本業,4,0.04%
373,部長,4,0.04%
374,福祉,4,0.04%
375,作品,4,0.04%
376,サルベージ,4,0.04%
377,海上,4,0.04%
378,各社,4,0.04%
379,Inc,4,0.04%
380,林業,4,0.04%
381,経済,4,0.04%
382,最初,4,0.04%
383,ハウジング,4,0.04%
384,コンサルティング,4,0.04%
385,金属,4,0.04%
386,鉄鋼,4,0.04%
387,サブ,4,0.04%
388,社寺,4,0.04%
389,宅地,4,0.04%
390,機,4,0.04%
391,屋外,4,0.04%
392,特,4,0.04%
393,スローガン,4,0.04%
394,第三者,4,0.04%
395,標準,4,0.04%
396,ソリューション,4,0.04%
397,かん,4,0.04%
398,局長,4,0.04%
399,成績,4,0.04%
400,品質,4,0.04%
401,優良,4,0.04%
402,みぞ,4,0.04%
403,ステージ,4,0.04%
404,都内,4,0.04%
405,スタジオ,4,0.04%
406,責任,4,0.04%
407,ソーラー,4,0.04%
