,単語,出現数,割合（出現数/総数:3945）
0,製紙,182,4.613%
1,工場,165,4.183%
2,会社,153,3.878%
3,株式会社,119,3.016%
4,用紙,78,1.977%
5,事業,73,1.85%
6,月,71,1.8%
7,グループ,67,1.698%
8,段ボール,63,1.597%
9,社名,57,1.445%
10,板紙,57,1.445%
11,紙,52,1.318%
12,本社,51,1.293%
13,メーカー,51,1.293%
14,企業,49,1.242%
15,子会社,49,1.242%
16,製品,40,1.014%
17,原紙,38,0.963%
18,部門,38,0.963%
19,パルプ,36,0.913%
20,業界,28,0.71%
21,国内,28,0.71%
22,ホールディングス,27,0.684%
23,英文,23,0.583%
24,同社,23,0.583%
25,持株,23,0.583%
26,Co,21,0.532%
27,売上,20,0.507%
28,せいし,19,0.482%
29,傘下,18,0.456%
30,新聞,17,0.431%
31,紙器,17,0.431%
32,拠点,17,0.431%
33,工業,16,0.406%
34,Ltd,16,0.406%
35,家庭,16,0.406%
36,大手,16,0.406%
37,情報,16,0.406%
38,資材,15,0.38%
39,封筒,15,0.38%
40,野球,15,0.38%
41,水力,15,0.38%
42,株式,14,0.355%
43,証券,14,0.355%
44,トイレットペーパー,13,0.33%
45,洋紙,12,0.304%
46,Paper,12,0.304%
47,シェア,12,0.304%
48,市場,12,0.304%
49,塗,11,0.279%
50,工,11,0.279%
51,原料,11,0.279%
52,特種,11,0.279%
53,電力,11,0.279%
54,ダンボール,11,0.279%
55,初代,11,0.279%
56,一つ,11,0.279%
57,系列,11,0.279%
58,千歳,11,0.279%
59,CO,10,0.253%
60,ティッシュペーパー,10,0.253%
61,LTD,10,0.253%
62,主力,10,0.253%
63,中心,10,0.253%
64,時点,10,0.253%
65,前身,10,0.253%
66,取締役,10,0.253%
67,興,10,0.253%
68,マテリア,10,0.253%
69,パック,10,0.253%
70,硬式,10,0.253%
71,名刺,10,0.253%
72,PAPER,9,0.228%
73,パッケージ,9,0.228%
74,ペーパー,9,0.228%
75,目的,9,0.228%
76,規模,9,0.228%
77,感熱,9,0.228%
78,大会,9,0.228%
79,コート,8,0.203%
80,抄紙,8,0.203%
81,システム,8,0.203%
82,技術,8,0.203%
83,分野,8,0.203%
84,産業,8,0.203%
85,後継,8,0.203%
86,電気,8,0.203%
87,国策,8,0.203%
88,全国,8,0.203%
89,カンパニー,8,0.203%
90,ダム,8,0.203%
91,上質,7,0.177%
92,需要,7,0.177%
93,体制,7,0.177%
94,時代,7,0.177%
95,ブランド,7,0.177%
96,櫻,7,0.177%
97,食品,6,0.152%
98,専門,6,0.152%
99,布,6,0.152%
100,都市,6,0.152%
101,ケース,6,0.152%
102,財閥,6,0.152%
103,ベース,6,0.152%
104,首位,6,0.152%
105,鉄道,6,0.152%
106,タック,6,0.152%
107,コンテナー,6,0.152%
108,さくら,6,0.152%
109,繊維,5,0.127%
110,世界,5,0.127%
111,TOB,5,0.127%
112,NIPPON,5,0.127%
113,白,5,0.127%
114,和紙,5,0.127%
115,製薬,5,0.127%
116,用品,5,0.127%
117,海外,5,0.127%
118,容器,5,0.127%
119,最大,5,0.127%
120,フィルム,5,0.127%
121,体質,5,0.127%
122,コード,5,0.127%
123,芙蓉,5,0.127%
124,ノー,5,0.127%
125,カーボン,5,0.127%
126,本部,5,0.127%
127,唯一,5,0.127%
128,土木,5,0.127%
129,価値,5,0.127%
130,アート紙,5,0.127%
131,衛生,5,0.127%
132,エリ,5,0.127%
133,エール,5,0.127%
134,紙おむつ,5,0.127%
135,山,5,0.127%
136,業者,4,0.101%
137,コーポレーション,4,0.101%
138,Corporation,4,0.101%
139,効率,4,0.101%
140,ライン,4,0.101%
141,医薬品,4,0.101%
142,業務,4,0.101%
143,種類,4,0.101%
144,名称,4,0.101%
145,ネット,4,0.101%
146,Mfg,4,0.101%
147,機械,4,0.101%
148,背景,4,0.101%
149,歴史,4,0.101%
150,現地,4,0.101%
151,法人,4,0.101%
152,クラフト,4,0.101%
153,対象,4,0.101%
154,最終,4,0.101%
155,過度,4,0.101%
156,経済,4,0.101%
157,薄葉紙,4,0.101%
158,社長,4,0.101%
159,基幹,4,0.101%
160,業績,4,0.101%
161,プラスチック,4,0.101%
162,国際,4,0.101%
163,主体,4,0.101%
164,王子,4,0.101%
165,クリネックススタジアム,4,0.101%
166,おうじ,4,0.101%
167,品種,4,0.101%
168,ビル,4,0.101%
169,Hz,4,0.101%
170,形,4,0.101%
171,会長,4,0.101%
172,地域,4,0.101%
173,基準,4,0.101%
174,トップ,4,0.101%
175,資本,4,0.101%
176,エフテックス,4,0.101%
177,純粋,4,0.101%
178,ナプキン,4,0.101%
179,セグメント,4,0.101%
180,花,4,0.101%
181,桜,4,0.101%
182,花器,4,0.101%
183,ガラス,3,0.076%
184,エア,3,0.076%
185,環境,3,0.076%
186,商品,3,0.076%
187,日本一,3,0.076%
188,紙袋,3,0.076%
189,サイト,3,0.076%
190,ショップ,3,0.076%
191,各種,3,0.076%
192,化学,3,0.076%
193,土地,3,0.076%
194,戦時,3,0.076%
195,一環,3,0.076%
196,終戦,3,0.076%
197,物資,3,0.076%
198,P,3,0.076%
199,機器,3,0.076%
200,事務,3,0.076%
201,運輸,3,0.076%
202,顧客,3,0.076%
203,文書,3,0.076%
204,大型,3,0.076%
205,他,3,0.076%
206,コンセプト,3,0.076%
207,地方,3,0.076%
208,立地,3,0.076%
209,合理,3,0.076%
210,建物,3,0.076%
211,東洋,3,0.076%
212,大人,3,0.076%
213,オイルショック,3,0.076%
214,財務,3,0.076%
215,価格,3,0.076%
216,所在地,3,0.076%
217,両社,3,0.076%
218,流れ,3,0.076%
219,委員,3,0.076%
220,はがき,3,0.076%
221,陸上,3,0.076%
222,選手,3,0.076%
223,チーム,3,0.076%
224,名,3,0.076%
225,専業,3,0.076%
226,民間,3,0.076%
227,一帯,3,0.076%
228,理由,3,0.076%
229,資金,3,0.076%
230,堰堤,3,0.076%
231,一般,3,0.076%
232,親会社,3,0.076%
233,不況,3,0.076%
234,収益,3,0.076%
235,合弁,3,0.076%
236,根付,3,0.076%
237,電子,3,0.076%
238,役員,3,0.076%
239,地裁,3,0.076%
240,特徴,3,0.076%
241,跡地,3,0.076%
242,ワン,3,0.076%
243,通販,3,0.076%
244,個人,3,0.076%
245,客,3,0.076%
246,会員,3,0.076%
247,最大手,3,0.076%
248,北,3,0.076%
249,比率,3,0.076%
250,製販,3,0.076%
251,Oji,3,0.076%
252,事件,3,0.076%
253,持分,3,0.076%
254,ダイナパック,3,0.076%
255,四角,3,0.076%
256,工程,2,0.051%
257,コーター,2,0.051%
258,常識,2,0.051%
259,マシン,2,0.051%
260,シート,2,0.051%
261,フィルタ,2,0.051%
262,半導体,2,0.051%
263,液晶,2,0.051%
264,フィルター,2,0.051%
265,秘密,2,0.051%
266,裏,2,0.051%
267,商社,2,0.051%
268,法律,2,0.051%
269,事務所,2,0.051%
270,瓶,2,0.051%
271,チューブ,2,0.051%
272,カートン,2,0.051%
273,構造,2,0.051%
274,写真,2,0.051%
275,材料,2,0.051%
276,Pulp,2,0.051%
277,ライナー,2,0.051%
278,芯,2,0.051%
279,建材,2,0.051%
280,石膏,2,0.051%
281,ボード,2,0.051%
282,画用紙,2,0.051%
283,ふうとう,2,0.051%
284,タクセル,2,0.051%
285,人気,2,0.051%
286,ゅせいし,2,0.051%
287,Tokushu,2,0.051%
288,手すき,2,0.051%
289,他社,2,0.051%
290,種,2,0.051%
291,思い,2,0.051%
292,社,2,0.051%
293,医療,2,0.051%
294,カード,2,0.051%
295,トレー,2,0.051%
296,チョコレート,2,0.051%
297,自動,2,0.051%
298,オフィス,2,0.051%
299,研究所,2,0.051%
300,古紙,2,0.051%
301,前半,2,0.051%
302,そのもの,2,0.051%
303,リスク,2,0.051%
304,効果,2,0.051%
305,単独,2,0.051%
306,銘柄,2,0.051%
307,プラダン,2,0.051%
308,テープ,2,0.051%
309,中核,2,0.051%
310,年度,2,0.051%
311,本店,2,0.051%
312,下,2,0.051%
313,ケミカル,2,0.051%
314,例外,2,0.051%
315,路線,2,0.051%
316,通り,2,0.051%
317,球場,2,0.051%
318,期間,2,0.051%
319,年間,2,0.051%
320,ペナルティ,2,0.051%
321,創部,2,0.051%
322,オリンピック,2,0.051%
323,女子,2,0.051%
324,英名,2,0.051%
325,メディア,2,0.051%
326,本館,2,0.051%
327,水系,2,0.051%
328,原動力,2,0.051%
329,水源,2,0.051%
330,水量,2,0.051%
331,上流,2,0.051%
332,学会,2,0.051%
333,遺産,2,0.051%
334,尻,2,0.051%
335,電源,2,0.051%
336,周波数,2,0.051%
