,単語,出現数,割合（出現数/総数:95847）
0,バス,7184,7.495%
1,路線,3367,3.513%
2,月,3285,3.427%
3,事業,1938,2.022%
4,車両,1877,1.958%
5,交通,1536,1.603%
6,鉄道,1174,1.225%
7,会社,952,0.993%
8,ファイル,900,0.939%
9,自動車,878,0.916%
10,貸切,872,0.91%
11,株式会社,733,0.765%
12,本社,717,0.748%
13,jpg,688,0.718%
14,グループ,664,0.693%
15,タクシー,654,0.682%
16,高速,619,0.646%
17,系統,521,0.544%
18,地区,477,0.498%
19,区間,428,0.447%
20,運賃,409,0.427%
21,停留所,392,0.409%
22,一般,381,0.398%
23,市内,375,0.391%
24,JPG,374,0.39%
25,中央,361,0.377%
26,中心,354,0.369%
27,駅,323,0.337%
28,電気,305,0.318%
29,乗合,301,0.314%
30,京成,300,0.313%
31,団地,297,0.31%
32,北,293,0.306%
33,カード,283,0.295%
34,地域,278,0.29%
35,企業,276,0.288%
36,定期,270,0.282%
37,bus,268,0.28%
38,大型,267,0.279%
39,運輸,252,0.263%
40,列車,244,0.255%
41,沿線,243,0.254%
42,カラー,243,0.254%
43,エリア,240,0.25%
44,国際,233,0.243%
45,車庫,232,0.242%
46,形,230,0.24%
47,車体,224,0.234%
48,子会社,223,0.233%
49,電車,222,0.232%
50,特急,219,0.228%
51,同社,217,0.226%
52,方面,214,0.223%
53,中型,213,0.222%
54,空港,213,0.222%
55,社名,207,0.216%
56,入口,206,0.215%
57,業務,198,0.207%
58,F,197,0.206%
59,道路,194,0.202%
60,JR,194,0.202%
61,軌道,188,0.196%
62,駅前,183,0.191%
63,ダイヤ,181,0.189%
64,センター,179,0.187%
65,ルート,179,0.187%
66,番号,175,0.183%
67,傘下,172,0.179%
68,コミュニティ,170,0.177%
69,電鉄,168,0.175%
70,地方,162,0.169%
71,東,162,0.169%
72,管内,161,0.168%
73,西,160,0.167%
74,ステップ,157,0.164%
75,扉,157,0.164%
76,病院,157,0.164%
77,興業,155,0.162%
78,客,152,0.159%
79,便,151,0.158%
80,南,149,0.155%
81,ターミナル,148,0.154%
82,Bus,143,0.149%
83,方式,141,0.147%
84,時代,140,0.146%
85,方向,140,0.146%
86,市営,139,0.145%
87,都市,137,0.143%
88,社長,137,0.143%
89,新車,135,0.141%
90,時点,134,0.14%
91,旅客,133,0.139%
92,他,133,0.139%
93,神,133,0.139%
94,乗客,127,0.133%
95,部門,127,0.133%
96,経路,127,0.133%
97,自治体,126,0.131%
98,ハイヤー,125,0.13%
99,県内,125,0.13%
100,車内,124,0.129%
101,他社,123,0.128%
102,IC,122,0.127%
103,間,122,0.127%
104,廃車,121,0.126%
105,分社,121,0.126%
106,組合,121,0.126%
107,仕様,120,0.125%
108,京阪,119,0.124%
109,県,119,0.124%
110,譲受,118,0.123%
111,状況,115,0.12%
112,状態,113,0.118%
113,幕,112,0.117%
114,ナンバー,112,0.117%
115,制度,110,0.115%
116,号車,110,0.115%
117,貨物,110,0.115%
118,目的,110,0.115%
119,国道,110,0.115%
120,温泉,109,0.114%
121,S,109,0.114%
122,バスターミナル,108,0.113%
123,交,108,0.113%
124,高校,107,0.112%
125,付近,106,0.111%
126,ワンマン,105,0.11%
127,グリーン,104,0.109%
128,支局,104,0.109%
129,愛称,103,0.107%
130,つう,101,0.105%
131,回数,100,0.104%
132,バス停,98,0.102%
133,相互,98,0.102%
134,本数,98,0.102%
135,ツアー,97,0.101%
136,A,97,0.101%
137,小型,96,0.1%
138,各社,96,0.1%
139,奈中,96,0.1%
140,機関,95,0.099%
141,ワンステップ,95,0.099%
142,システム,95,0.099%
143,鉄,95,0.099%
144,ロゴ,94,0.098%
145,ライナー,94,0.098%
146,海浜,93,0.097%
147,全国,92,0.096%
148,南部,92,0.096%
149,中古,92,0.096%
150,ホールディングス,89,0.093%
151,資本,89,0.093%
152,トラック,89,0.093%
153,公園,89,0.093%
154,名称,88,0.092%
155,線,88,0.092%
156,周辺,87,0.091%
157,m,86,0.09%
158,株式,86,0.09%
159,赤字,86,0.09%
160,北部,84,0.088%
161,全線,83,0.087%
162,レインボー,83,0.087%
163,セレガ,83,0.087%
164,対象,83,0.087%
165,ビル,82,0.086%
166,工業,81,0.085%
167,拠点,81,0.085%
168,例,80,0.083%
169,シート,79,0.082%
170,通り,79,0.082%
171,Co,79,0.082%
172,夜行,79,0.082%
173,私鉄,78,0.081%
174,車,77,0.08%
175,始発,77,0.08%
176,無線,76,0.079%
177,Ltd,76,0.079%
178,公共,76,0.079%
179,区域,74,0.077%
180,通常,74,0.077%
181,社員,73,0.076%
182,ブルー,73,0.076%
183,基本,73,0.076%
184,体制,73,0.076%
185,期間,73,0.076%
186,住宅,73,0.076%
187,座席,72,0.075%
188,本線,72,0.075%
189,前身,72,0.075%
190,N,72,0.075%
191,側面,72,0.075%
192,シティ,72,0.075%
193,新幹線,72,0.075%
194,規模,71,0.074%
195,住民,71,0.074%
196,ホテル,71,0.074%
197,サイト,71,0.074%
